Partia,Portal,Followers
Prawo i Sprawiedliwość,facebook,436000
Koalicja Obywatelska,facebook,407000
Konfederacja,facebook,887000
Razem,facebook,176000
Nowa Lewica,facebook,162000
Prawo i Sprawiedliwość,instagram,46117
Koalicja Obywatelska,instagram,107093
Konfederacja,instagram,232303
Razem,instagram,107507
Nowa Lewica,instagram,80060
Prawo i Sprawiedliwość,twitter,Brak danych
Koalicja Obywatelska,twitter,Brak danych
Konfederacja,twitter,Brak danych
Razem,twitter,Brak danych
Nowa Lewica,twitter,Brak danych
Prawo i Sprawiedliwość,youtube,Brak danych
Koalicja Obywatelska,youtube,Brak danych
Konfederacja,youtube,Brak danych
Razem,youtube,Brak danych
Nowa Lewica,youtube,Brak danych
Prawo i Sprawiedliwość,tiktok,66200
Koalicja Obywatelska,tiktok,216000
Konfederacja,tiktok,417100
Razem,tiktok,82800
Nowa Lewica,tiktok,193300
